N	Bubble	Insert	Select	Quick	Merge
100	0.03	0.00	0.01	0.01	0.04
500	0.67	0.01	0.20	0.03	0.21
750	1.46	0.01	0.23	0.04	0.17
900	2.05	0.01	0.31	0.04	0.23
1400	4.58	0.01	0.68	0.07	0.31
2000	11.42	0.04	2.11	0.15	0.82
2500	19.45	0.03	2.12	0.12	0.60
4100	48.70	0.05	8.13	0.23	1.16
5000	64.40	0.07	13.32	0.26	1.19
7800	151.78	0.13	28.31	0.42	1.83
9500	255.33	0.14	34.98	0.55	2.14
12000	412.24	0.14	59.38	1.02	4.45
13000	488.13	0.17	63.32	0.75	3.07
15000	615.42	0.19	90.04	1.25	4.12
25000	1849.23	0.29	240.40	1.47	6.24
33000	3386.22	0.40	378.85	2.04	12.56
50000	8119.85	0.60	866.47	4.71	15.46
100000	33772.11	1.17	3565.13	6.78	22.24
140000	-	-	-	9.74	32.74
180000	-	-	-	16.90	45.11
250000	-	-	-	23.50	61.32
400000	-	-	-	31.05	100.65
500000	-	-	-	53.05	169.49
655000	-	-	-	64.95	191.85
800000	-	-	-	66.95	209.71
840000	-	-	-	70.67	220.03
1000000	-	-	-	86.80	265.65
